Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
250301,B001NXHY8Y,A31HE83MU98GBV,Gadget Girl,0,0,5,1281830400,My daughter is hooked on these...,"\"My friend gave us a package of these that her son had outgrown.  We were using the Gerber banana puffs and I did not think our baby would like these Green puffs (Spinach, Collard Greens and Kale).  She does not like peas or green vegetables very much.  Boy was I wrong!  She loves these things.  They are by far her favorite (second favorite: Gerber Peach flavor).<br /><br />These are a great value here on Amazon especially if you do the subscribe & save.  The HappyBaby puffs give you 40% more puffs in a container than the Gerber variety, so consider that when purchasing.  These puffs are a little \"\"poofier\"\" - softer - than the Gerber variety and maybe a tiny bit larger.  Neither is bad or good"
250307,B001NXHY8Y,A20P8VC55KPPCT,FL Mom,0,0,5,1274227200,Great snacks!,These Puffs are great and my son loves them.  They are really convenient for snacks on-the-go.
250330,B001NXHY8Y,A39X8777WA7LD9,"\"Jennifer L. Lash \"\"Jennifer\"\"\"",0,0,4,1246406400,great stuff,My child loves these. The only problem I see is that they get stale fast. I am still only on the first pack.
250332,B001NXHY8Y,A3IKHM6L9U5VLE,Erin Dickerson,0,0,5,1243641600,love these puffs!,My twin boys love these puffs.  I feel great giving the puffs to them because they are organic!
250382,B001NXHY8Y,ASO2KEXN700UN,Sam I Am,1,1,5,1327104000,My little guy loves these,"My little guy LOVES these puffs. Whenever he throws a fit or refuses to eat, we give him a handful of these puffs and he immediately complies with the task at hand. They work so well at curbing tantrums that I had to start buying bulk via Amazon."
250477,B004WSBZAA,AKJ3P4XK1KN5Y,PhoenixFalls,0,0,2,1324339200,Far less than advertised.,"The packaging claims that the 150g jar of powder is a 30-60 day supply; however, for my 40-pound dog it only lasted 10 days. This is partly because the packaging instructs you to double the dose for the first 4-6 weeks; however, even if I had not been doubling the dose it would only have last 20 days -- and it's supposed to be used on dogs more than twice my dog's size. If you have a dog over 75 pounds and want to double the dose as recommended, you'll be through with the jar in five days!<br /><br />In the little time before the jar ran out I did not notice any difference in my dog's joint discomfort.<br /><br />On the plus side, I suppose, there's the fact that she really loved the taste."
250489,B004WSBZAA,A10Z8FC0SMU5VQ,Dorraine M. Rooney,0,0,5,1323043200,Old Daschaund,I started noticing a difference after 48 hours in my 13 year old daschaund after starting use...it has been 4 days and I am glad I got this from vine and am sure I will buy more for my old boy
250545,B00248EA8Y,A18QHULJJH06CQ,"\"June IV \"\"Liu\"\"\"",1,1,4,1308441600,the candy needs a better package,"The candies came in were out of their individual positions and crashed together, even the big pieces in the centre - leaving crumbs and small damages.  I have to open the package and re-arrange the candies into its individual positions."
250577,B003ZIR8YU,AG2G8W7XF4IFE,RachelW,3,3,5,1314316800,Great cookies!,"My favorite cookies! Available on other websites and at Costco for 1/3 of the price listed here though. May be worth every penny, but why pay more when you don't have to?"
250644,B0054TWRUI,A2V2SFPL5APRIK,Jen,3,4,1,1311724800,awful flavor!!,"\"I love the Happy Baby and Happy Tot products, but the Happy Squeeze Super Orange and Pumpkin is really awful tasting.  My 17 month old will eat anything out of a pouch (spinach, peas, green beans etc) she made the funniest face when she ate this and then spit it all out and said \"\"all done\"\".  I then got my 5 year old to try it and she spit it out in the garbage can and then told me she thought she might throw up.  After their reactions I tried and I agree.  Thumbs down!!\""
250656,B0001K5KPY,A1SUH8NCCC876S,Anonymous Reader,2,2,5,1191628800,A Wonderfully Rich Olive Oil,"Antica Olive Oil is marvelously flavorful.  It is an outstanding accompaniment at table for breads, pastas and crudites.  We first encountered this olive oil at a fine Italian restaurant-- the owner, a native of Italy, advised us that he imported this brand.  We're all lucky that it is available online."
250662,B007P2NEI6,A1CJG0A37HQBHV,Julie Strine,0,0,5,1346457600,Delicious,"I love this tea, this is the only Kind of tea that I have found that I don't have to add sugar to for it to taste good. I will be buying more of this in the future."
250669,B000GWKKKC,A3B5IWZUX1SA50,T. Rohacek,1,1,5,1158019200,Surprise,"\"I recently developed a wheat/gluten allergy, so I went in search of chip-alternative snacks.  I decided to try these.  I munched one - thought \"\"hmm... not great"
250674,B0006NI1P2,A3MZO1YF8K0JZC,BCA Inc,3,3,5,1265500800,Awsome Cookies,"Scott's cookies are nothing short of spectacular. I enjoyed every single one as did my friends.<br />Would highly recommend to any cookie lover. As i actually purchased this product on Amazon, I feel comfortable giving it 5 stars"
250680,B000EEWZEQ,A2FQG7B7ECVAIK,mlp,1,1,5,1314144000,The Best Sardines on the Market We Have Found,These are the best mustard sardines on the market that we have been able to find.  We enjoy their flavor and the fact they are wild caught.  The reason we have purchased them online is because we have not been able to locate them locally and the price is good.
250695,B003TX4L6O,A2ABDAU8XDOS7,V. Nemnich,0,0,5,1310083200,My grandkids love these!,I remember my grandmother giving me Fizzies when I was a child and now I have them to give my grandchildren.  They absolutely love them and ask for them every time they are at my house.  They are entranced with the bubbles produced as the fizzie dissolves and love the taste of them.
250716,B002HFWNKG,AV5JGP2VYCZXA,"\"Kriston A. \"\"day hiker","music lover\"\"\"",0,0,5,1247788800,Yummy and fun!  A crowd pleaser!
250729,B002HFWNKG,A379TF7EJI1DS6,"\"mycatsadiva \"\"mycatsadiva\"\"\"",0,1,3,1268006400,Packaged goods--not so good.,"I LOVE Nestle Rich Hot Cocoa and I was so excited to find it on Amazon for a reasonable price, but I was really disappointed with the condition of the cans once I got the box they came in opened. Two of the six cans I ordered were crushed on top and one can had a massive gash in it which caused some product to spill out during shipping. This was really disappointing as chocolate isn't cheap. I was also incredibly nervous about using the product not knowing if the gash was man-made or if it was the result of improper handling from the warehouse? Consumers cannot be too careful these days with past cases of product tampering. Overall, I was satisfied with the length of time it took for me to receive the product. I just wish the presentation would have been better. Canned foods should NEVER have holes or gashes in them and crushed cans are usually caused from poor packaging."
250736,B002HFWNKG,ALWUWI6PESIXU,E. Davis,11,11,5,1174953600,Doesn't get much better than this,Hands down the best cocoa I've had in a long time.  Kept searching for a decent replacement since my stores stopped carrying this.  The only thing that comes close (haven't done a side-by-side taste test) is Hershey's Dutch Hot Chocolate cocoa mix.
250742,B002HFWNKG,A2GR7SRMJ54RG7,Book Vamp,3,3,5,1296777600,MMMMM....Chocolate....,"I order this product about every 2 months, I usually order the Rich Milk Chocolate (pack of 3) 27.7 oz canister. I use the mix in my coffee every morning and my kids enjoy a cup every evening when it is cold outside. It's pretty hard to find it in the canisters where I live and I prefer that to the packets that are sold, so this is a good buy for me. The product always arrives intact, no dents or spilled cocoa in the box. I don't know if I would try the other flavors since I like the Rich Milk Chocolate one so far."
250761,B002HFWNKG,A3VZGOR83EDKVK,Mary Allen,1,1,5,1239753600,Really good stuff.,Fat free version is delicious and low calorie. Wish the fat free did not cost more than the varieties
250774,B002HFWNKG,A21FO8HXJECL08,WILLIAM D. WOOD,0,0,5,1350345600,Sipped By a Blazing Fire..,"Nestle Hot Cocoa Mix has always been a part of my family as a child and into adulthood. This stuff is chocolaty and tastes great when sipped on a cool Winter night with family and friends, next to a blazing fireplace while reminiscing about the years gone by. If only those years could be relived.. there would be time to enjoy more of this memorable drink.<br /><br />Please rate this review if you found it helpful."
250799,B002HFWNKG,A1G5OY3OFTF70V,H. Yunck,0,0,5,1276300800,Best Fat Free Hot Chocolate,I was so excited when I found amazon selling the Nestle Hot Chocolate.  We used to purchase it at our local stores but they only carried it seasonally and then this last year they quite carrying it altogether.  It was very disappointing.  It is a far better product than the Swiss Miss Diet Hot Chocolate.  As someone who does Weight Watchers it also works great with my diet as one beverage is no points.  Thank you Amazon for carrying this product and Thank you Nestle for continuing to make it.
250822,B002HFWNKG,A3ICXA05108QHJ,Judy Tomlin,0,0,5,1256947200,Hot Cocoa,This is the best fatfree cocoa! I have had the other's and this is the best tasting one out there for the calories! I recommend it to anyone who is on a restricted diet or is just watching calories.
250837,B003D3533A,A14FOOL2X8NH69,AlwaysWorking,0,0,2,1292630400,"Great for the environment, doesn't taste great","I was so excited to find Shade Grown, Fair Trade, Organic, Decaf coffee.  But it's not good.  It just tastes bad, that is the only way to put it.  Coffee should have a certain flavor, even cheap diner coffee tastes like coffee, but this coffee not so much.  It's definitely a light roast, and maybe I put too much in the pot when I made it, but both my husband and I right off the bat said this taste is gross.  I love Paul Newman's Organic coffee, but while I love the message and even the name of Tiny Footprint, I don't think I'll buy it again.  Now what to do with 2 pounds of coffee I can't stand to drink?"
250843,B0037NVULU,A2IRYO7MWCN8XH,rachel090783,0,1,2,1339459200,No go..,"It's weak and doesn't taste anything like chocolate glazed donuts.  Yuck!  Seriously, I really wanted to like this product, but it was just awful."
250892,B004V3D2UM,A25XXVX44VNC8S,"\"Eddie B. Satterly \"\"Eddie\"\"\"",3,3,4,1341014400,Very good item,"Very good packaging and arrived on time. Coffee is great as well, my wife is a big fan and glad to get an all in one way to get this in the K-cups"
250909,B00642EWDO,A1EVV74UQYVKRY,K. Groh,0,0,5,1346976000,Yum! Great Coffee or Tea Snack,"I've never had any caramel wafers before so when I saw these at BJs Wholesale Club, I was intrigued. Picked up a box of 48 for $10, which seems like a great price.<br /><br />They are sort of crunchy on the outside with a creamy caramel on the inside. If you put it over your cup when your drink is hot, it softens the caramel. If you don't have a hot drink, you can just microwave it for a few seconds and get the same effect.<br /><br />They are tasty and perfect as an afternoon treat. Once seems to do the trick of satisfying a sweet tooth. They would be nice for company after dinner too."
250928,B004DOXI9O,A2G9UDL72YUTT8,Book and Dog Lover,2,2,3,1317254400,Tasty chocolate but very light ginger flavoring,"The box contains 8 cookies, with each cookie just a little over 2 inches in diameter. About 1/3 of each cookie is covered in chocolate. I had the same problem that others did - the cookies arrived and the chocolate had melted and then hardened, making it difficult to eat a single cookie - they kept breaking into pieces.<br /><br />Taste-wise, I did find that they had a slightly gritty texture, not uncommon with vegan cookies. The cookies are soft with a light ginger flavoring. While I don't care for a strong ginger taste, I would have liked a bit stronger flavoring as these seemed rather bland. Even though it had melted, I found the chocolate to be rich and tasty. The combination of the rich chocolate and the ginger taste works well together.<br /><br />These cookies are a product of Scotland. While there is a list of ingredients, nutritional information is not listed on the package.<br /><br />If you're looking for vegan or gluten-free cookies, you may want to try these cookies. I think if you're just looking for a tasty cookie, you probably want to pass."
250933,B004DOXI9O,A31RULW0KNYJ5H,LA,2,2,3,1317081600,Bland,"These cookies arrived in the afternoon. They didn't sit in the mail box long, but I discovered upon opening them that the chocolate was seriously melted. I put the box in the refrigerator. Not the best idea obviously because now the cookies were cemented together by the chocolate. Obviously this is no fault of the cookie manufacturer, but I do want to make you aware of what you might be dealing with if you mail order these.<br /><br />I'm a hormonal woman, so I found a way to eat the cookies, though they were so messy I ended up eating over the sink and creating a huge chocolate mess on my hands and face--I looked like a three year old.<br /><br />Were they worth the trouble? Sadly no. Ginger? What ginger? The dark chocolate isn't bad, but the cookie tastes like nothing. I was really looking forward to eating a ginger cookie, but there wasn't even a hint of it.<br /><br />If you're on a gluten-free diet, you might find these tasty. I'm not and didn't."
250956,B004DOXI9O,APYKJUMZP99ZJ,"\"jerseygirldownsouth \"\"jerseygirldownsouth\"\"\"",3,5,1,1316390400,Very Disappointing,"\"In theory these sounded very good - in reality, they were a huge disappointment.<br /><br />The ginger taste was very mild, and was unfortunately overpowered by the chocolate.  It seemed overly sweet, which was a surprise since I had expected Belgian chocolate to be less so.<br /><br />Also, the cookie itself wasn't as crisp as it could have been.  The overall texture wasn't enjoyable.<br /><br />This could just be my taste, but I think it would be much better if the cookie was a crisp \"\"snap\"\" type"
250965,B000JMDGY6,A3Q0MHIHKUOEJZ,mag,14,20,1,1278115200,Expired,I ordered several spices from this company and many were already expired when they arrived.  I would not recommend.
250967,B001D20BI0,A2I1HHX512ACPS,Ed Yukteshwar,0,0,4,1329004800,In the Bag,"\"The product arrrived in a timely fashion, properly packaged in appropriate ground coffee bags.  The coffee itself was good in a center of the road vein, neither too lacking in characteristics, nor excelling in any catagory.  I ended up mixing it with some Central and South American coffees.  I found the Costco Kirkland brand World Blend coffee to be a better choice <a href=\"\"http://www.amazon.com/gp/product/B005ELCL9I\"\">World Blend Medium Roast Ground Coffee (2.5 Lb)</a> .\""
250975,B001IZLUNC,A2BGYQOVVYN4QJ,Shaney Orangecorn,2,2,5,1232409600,So Tasty!,"I first found these when I lived in AZ.  Since then, we've lived in CA & now TX and I can't find the Mango flavor in the stores anywhere.  Thank you Amazon!  This is the best flavor Kook-Aid ever."
250984,B00538C020,A2XERNHNKJ0NAW,CJ,2,2,5,1340755200,Vanilla Cane Sugar,"\"<a href=\"\"http://www.amazon.com/gp/product/B00538C020\"\">Vanilla Cane Sugar-1lb Bag</a><br /><br />I bought this as a gift for a friend who was hooked on that pricy vanilla sugar from a gourmet chef that charged 9.00/OZ! They were so surprised to use this & declared it every bit as good as the other they will no longer need to purchase. I thought it was a good as well. We are all happy. If you like<br />a gourmet coffee experience I would highly recommend this product. Thrilled with the product AND it is a wonderful gift the way it is packaged.\""
251008,B0085RSFES,ANVRN900H3U8H,"\"Kenneth Jelinek \"\"Fiber Connoisseur\"\"\"",7,7,5,1266883200,Your GI tract will thank you.,"I'll recommend Grape-Nuts whole-heartedly to anyone who needs a high fiber punch in a low-volume solution. This cereal is dense and probably should not be consumed in large volumes at a sitting. There is a LOT of fiber and iron in it.  Other than that, it would be the perfect breakfast cereal. Unlike other high-fiber solutions, Grape-Nuts is versatile.  You can eat it cold with milk or heat it up in the microwave with said milk and enjoy a tastier alternative to oatmeal. You can sprinkle it on yogurt for a texture explosion in your mouth. I've even made bran muffins with them, and they are delicious."
251009,B0085RSFES,A21L3P1DFZ3T8I,Tony,23,30,5,1266796800,I ate 2 cups of Grape-nuts today,"I ate 2 cups of Grape-nuts this morning, on a bet that i couldnt, while wearing a St. Patricks day hat and fake beard.  My stretch goal was 10 minutes, though it took better than 20, and i was sabotaged by Dave who added more when i went to get water.  Realizing after the fact that this many Grape-nuts was representative of about 120% of my daily fiber and 360% Iron, not to mention 800 net calories or so pre-milk, i became slightly worried and have been slugging down water ever since.  I havent eaten Grape-nuts in a while, and must say, despite the extreme circumstances, i really enjoyed them, and will eat them again tomorrow assuming im hungry then.  They were tasty, slightly sweet, and not in need of any additives to enjoy.  Highly recommended."
251021,B0085RSFES,A3BG0RQ123C9OE,"\"John-Christopher Ward \"\"J-C Ward\"\"\"",0,0,4,1350345600,Bran,"It was a good deal and I have cereal for the rest of the year. Buying in bulk and dreaming of toiletries, blue sky above."
251048,B002INDU22,A250HHH6LNASFA,"\"R. Adams \"\"Ms. Adams\"\"\"",2,3,2,1340755200,Not as Effective as Other Brands,"I normally purchase a different brand, but thought I'd try these since they were about the same price, only this one was offered in an XL size.  I ended up having to take two of these larger tablets to get the same effect as one of my old brand.  The effect also wasn't as altering and didn't last as long with this brand.  I'll be going back to my old brand."
251057,B002INDU22,A35DPBXUOZD5SF,MMTC,0,0,5,1338854400,Weirdest thing ever!,"The miracle frooties were so weird. I was a little unsure about if they were going to work or not, but it turns out they really do! It was expecting a lot more out of them, but i guess they will have to do. The only bad thing about them is when you eat lemons and limes your lips burn a lot and give your sores. Other than that these things are amazing!"
251091,B001SS46LM,A18BX4UNIKR6KC,"\"N. L. Wyman \"\"Mtn Chef\"\"\"",0,0,4,1291420800,Pretty good but not what you would expect.,"\"These are pretty tasty but are not the \"\"typical\"\" biscotti that you would think - they are far more dense but do taste good for a sugar-free product.  I would recommend giving them a try - not sure I will buy them again but there is really nothing wrong with them.\""
251101,B004PJ6Y02,A2PD5CCBP60XO3,Wendy Smith,0,0,4,1330473600,new mobility for your dog,"My 11 year old St Bernard has some arthritis, and was having a lot of difficulty standing up and using stairs.  After just one bag of Active Care dog food, there is a noticeable difference in his comfort level!! He moves with much greater ease!  And, after several bags, he has not gotten tired of the food, he still is eager for dinner! Terrific product!"
251117,B000JOE224,A2589EQ79D2609,Janet L. McElligott,0,0,5,1327708800,Great!,"Easiest way to feed a pill to your pets. My two cats would not take their meds in anything else (bread, cheese, other treats, etc.) They must be really tasty because they devour the pill pocket, pill and all, then look for more."
251193,B000JOE224,A1CE0IHO5LSNGN,Joel Tesler,54,54,3,1168387200,"Mixed results, and some tips","I have three older cats who take arthritis pills.  One also takes a thyroid pill.  I decided to try the pill pockets.  For the first month or so, they all loved them, and they made it easy to give the pills.  However, after three months:<br /><br />One cat still loves them.  I have to watch her carefully or she will steal the pills from the others.<br /><br />One cat has figured out how to eat around the pill.<br /><br />One cat sometimes takes them, but at other times just sniffs the pocket and skips it.<br /><br />I have figured out a few tricks that help:<br /><br />There are two types of pockets for cats:  chicken and salmon.  The chicken is slightly larger and more pliable and works better with larger pills.  However, I think that the cats find the salmon tastier.<br /><br />Get another cat treat and stick it to the side of the pill pocket.  Then place the pocket so the treat faces down.  My finicky cat is much more likely to eat the whole thing that way.<br /><br />The pill pocket still helps with the cat who eats around it.  After she eats the pill pocket, it is easier to shove the pill down her throat.  She is more likely to swallow it instead of spitting it out if it tastes of pill pocket.<br /><br />If you have two pills, try to fit them both in one pocket.  Giving the cat fewer pockets will make it seem more of a treat."
251203,B000JOE224,A3EGCSVH1JBZV2,Maryanne Lomberg,0,0,5,1200096000,It really works!!,"Kelsey is 18 years old just developed hyperthroidism and has to have a pill every day for the rest of her life.  Well she is extremely closed mouth and it is very hard to even get her mouth open.<br /><br />So I heard about the pill pockets read your reviews on here picked up her medication at the vets yesterday and stopped at PetsMart and purchased the pocket, chicken flavor.<br /><br />First I gave her one without the pill... she loved it and thought it was a treat and looked at me for more.  I then took another and put in the pill and pinched it close and she gobbled it up.  YEA!!!!!!<br /><br />Kelsy only has 2 teeth and eats only soft food.  This pocket is soft enough and she has no problems getting it down.<br /><br />Another up side is when we go on vacation my sons comes and feeds her.  He could have never have gotten a pill down her.  He watched me give her her pill and he said Wow, I can do that!<br /><br />Also since Kelsey is old, as much as I love her I could not afford the operation or the radioactive pill.  So this works great.<br /><br />Thank you for your reviews.<br /><br />A+++++++++<br /><br />Next I will try the salmon.<br /><br />Oh there is one bad thing... and that us she wants more than one... lol<br /><br />Maryanne & Kelsey"
251304,B000JOE224,A80LTQK9GX5UP,3cats,0,0,5,1333324800,"Fantastic, Tosca loves them :-)","My cat Tosca has developed a medical condition requiring pills 2 x daily.  She is the sweetest cat, however, not too agreeable when she needs to be medicated.  With these pill pockets she comes running for her meds.  I now have to give the other  2 kitties a treat each time she gets her meds or they feel left out.  Terrific product if you need to medicate a cat and want a  hassel and/or stress free way for both the cat and you. I'm very happy with the results, well worth the $$ and quite a bit cheaper than any of the local retailers anywhere in the area that I've found, living in CT."
251306,B000JOE224,A2L1SDA7E1QHEL,"\"Zee Cubed \"\"ZeeRN\"\"\"",0,0,5,1332892800,Awesome for Picky Cat!,"Our picky cat, Roxanne, was ordered buspirone for urine marking. She WILL NOT eat wet cat food. On a friend's recommendations, I bought these pill pockets but was not terribly hopeful. But JOY! Roxanne takes it right down! This is especially wonderful as she has to take the pill twice daily! This is an awesome product. It has been a week and she still hasn't figured out that there's a pill stuck inside. Thank you!"
251321,B000NP30XQ,A1B4BODZ3OP5CF,Donna Williams,1,1,5,1295827200,This is the Best!,"This coffee is wonderful.  I receive compliments all the time.  It is a medium roast coffee with NO bitterness, just good wholesome flavor."
251337,B001FA1H74,A1FSTL62QA7AQX,"\"Music Man \"\"Musc Lover\"\"\"",2,2,5,1290816000,Great Peanuts,I thought these peanuts were wonderful.  They are big peanuts with a great crunch.  Just the right amount of salt.  I bought these because the extra large Virginia peanuts I used to buy at Costco were discontinued.
251341,B001FA1H74,AWVYJLIVSOQLT,Lite,0,0,2,1335398400,not excellent anymore,"I was very disappointed. I have ordered this product before and it was excellent with very large crunchy peanuts. This time the peanuts were much smaller, mixed with few large peanuts. It is too bad they reduced their quality"
251344,B001FA1H74,A2M1JX96WSNXXK,"\"Shannon Hawkins \"\"smythee\"\"\"",0,0,5,1322956800,Royal Oak Virginia Peanuts,Both my husband and my father-in-law love these peanuts. You can taste the difference between these peanuts and the grocery store peanuts. Royal Oak peanuts are more crisp and the taste is less oily.
251346,B004H3N2LU,A2TDVPKRN29MNF,CJ,15,15,2,1295481600,Not Great,"I purchased these K-cups on sale recently on Amazon.  Unfortunately there weren't any product reviews available yet, so I took a risk.  I am fairly certain these cups contain instant coffee.  I think that for a few reasons 1) if you shake these cups they have a distinctly different sound than K-cups of other types that I have.  It's as though the contents are dehydrated and take up significantly less space in the cup than the others; 2) The coffee comes out of the machine initially as dark sludge, then as almost clear water.  Obviously these extremes mix together in the mug; and 3) the flavor reminds me a lot of instant coffee.  Not undrinkable, but not something I would buy again, even if it were on sale."
251353,B004H3N2LU,AO8LWJ9DZUEEM,very disappointed,2,2,1,1301443200,Grove square single cup for keurig,"bought 4 large boxes (pack of 2) in all flavors. when we received them they were very light. Upon opening them there were no grounds, or paper filters.  They were competely empty.  When we brewed them, the coffee was first dark, then appeared to be clear.  This was a very disleading coffee.  We were expecting real coffee not instant.  When you read the label you think it is ground coffee not something else. It also left a sediment in the bottom of the cup."
251378,B004H3N2LU,AIEM80THQUL1O,K. Abernathy,0,0,1,1323216000,Bad Cofee,"This is not good coffee.  The taste is not good.  Don't bother, first time we have bought something we didn't like"
251385,B004H3N2LU,A19FJUO4I0OSCU,T. Patocka,0,0,1,1317945600,I tried so hard to like this stuff but...,"\"I just couldn't bring myself to drink another cup.  I picked up an 18 count box of Grove Square medium roast at my local Wal-Mart for around $7.98.  I should have paid more attention to the instant coffee notes on the box and taken that as a warning.  They really sold me on the k-cup for the dollar ratio and I was a sucker for it.  I like instant coffee, in fact, I am one of the few people who has actually written a review for Nescaf&eacute; Cl&aacute;sico, an instant coffee of which I have been a fan for many years but this...coffee, I guess you can call it, is awful.  I try to approach each different k-cup with an open mind and open palate but maybe I was just spoiled from all of the french, espresso roast and Nantucket blend that I have been consuming over the last few months but seriously, this coffee would scare a new Keurig customer away from our machines (no, I don't work for Keurig, but our brewer is loved in our home more than our cat at times).  The coffee has a flat, watery taste to it with almost no roast taste to it, even though it is supposedly \"\"medium roast\"\""
251394,B004H3N2LU,A2RQGP0POKJ3PQ,Paranoid Android,0,0,1,1306022400,yuck!!!!,"I picked this up at Walmart while waiting for my Timothy's Coffee to be mailed from Amazon.  I didn't realize it was instant coffee, but I should've known something was wrong when I took one out of the box & the k-cup felt practically empty.  It's overpriced instant coffee & nasty tasting at that.  Save your money!!!  Every time I think about how it tastes, I get a little queezy.  You get real coffee taste & more for your money by buying Coffee People or Timothy's."
251473,B001EQ4J7O,A1QAFFI6SX28P6,"\"W. Stern \"\"Bill S\"\"\"",0,0,4,1301961600,Decent Coffee,I would order this coffee again as a change up for drinking regular.  Millstone makes good coffee and I enjoy several others they make.
